symbol,organ_name,icb_name,exchange
PET,Tổng Công ty Cổ phần Dịch vụ Tổng hợp Dầu khí,Dịch vụ Tiêu dùng,HOSE
MEL,Công ty Cổ phần Thép Mê Lin,Nguyên vật liệu,HNX
PLX,Tập đoàn Xăng dầu Việt Nam,Dầu khí,HOSE
KHW,Công ty Cổ phần Cấp thoát nước Khánh Hòa,Tiện ích Cộng đồng,UPCOM
PCF,Công ty Cổ phần Cà phê PETEC,Hàng Tiêu dùng,UPCOM
PEG,Tổng Công ty Thương mại Kỹ thuật và Đầu tư - Công ty Cổ phần,Tiện ích Cộng đồng,UPCOM
PHR,Công ty Cổ phần Cao su Phước Hòa,Nguyên vật liệu,HOSE
PIC,Công ty Cổ phần Đầu tư Điện lực 3,Tiện ích Cộng đồng,HNX
MSB,Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam,Ngân hàng,HOSE
PGB,Ngân hàng Thương mại Cổ phần Thịnh vượng và Phát triển,Ngân hàng,UPCOM
PID,Công ty Cổ phần Trang trí nội thất Dầu khí,Công nghiệp,UPCOM
PGD,Công ty Cổ phần Phân phối khí thấp áp dầu khí Việt Nam,Tiện ích Cộng đồng,HOSE
MNB,Tổng Công ty May Nhà Bè - Công ty Cổ phần,Hàng Tiêu dùng,UPCOM
PIS,Tổng Công ty Pisico Bình Định - Công ty Cổ phần,Nguyên vật liệu,UPCOM
HHB,Công ty Cổ Phần Bia Hà Nội - Hồng Hà,Hàng Tiêu dùng,UPCOM
PIT,Công ty Cổ phần Xuất nhập khẩu Petrolimex,Dịch vụ Tiêu dùng,HOSE
HC1,Công ty Cổ phần Xây dựng số 1 Hà Nội,Công nghiệp,UPCOM
PIV,Công ty Cổ phần PIV,Tài chính,UPCOM
PJC,Công ty Cổ phần Thương mại và Vận tải Petrolimex Hà Nội,Tiện ích Cộng đồng,HNX
PBC,Công ty Cổ phần Dược Phẩm Trung ương 1 - Pharbaco,Dược phẩm và Y tế,UPCOM
PJT,Công ty Cổ phần Vận tải Xăng dầu đường thủy Petrolimex,Công nghiệp,HOSE
PHH,Công ty Cổ phần Hồng Hà Việt Nam,Công nghiệp,UPCOM
PLO,Công ty Cổ phần Kho vận Petec,Công nghiệp,UPCOM
PLA,Công ty Cổ phần Đầu tư và Dịch vụ hạ tầng Xăng dầu,Công nghiệp,UPCOM
MCO,Công ty Cổ phần Đầu tư và Xây dựng BDC Việt Nam,Công nghiệp,HNX
PHS,Công ty Cổ phần Chứng khoán Phú Hưng,Tài chính,UPCOM
PMP,Công ty Cổ phần Bao bì Đạm Phú Mỹ,Công nghiệp,HNX
MHC,Công ty Cổ phần MHC,Công nghiệp,HOSE
PNC,Công ty Cổ phần Văn hóa Phương Nam,Dịch vụ Tiêu dùng,HOSE
PND,Công ty Cổ phần Xăng dầu Dầu khí Nam Định,Tiện ích Cộng đồng,UPCOM
PNJ,Công ty Cổ phần Vàng bạc Đá quý Phú Nhuận,Hàng Tiêu dùng,HOSE
PNT,Công ty Cổ phần Kỹ thuật Xây dựng Phú Nhuận,Công nghiệp,UPCOM
EIN,Công ty Cổ phần Đầu tư - Thương Mại - Dịch vụ Điện lực,Dịch vụ Tiêu dùng,UPCOM
POM,Công ty Cổ phần Thép Pomina,Nguyên vật liệu,UPCOM
POV,Công ty Cổ phần Xăng dầu Dầu khí Vũng Áng,Tiện ích Cộng đồng,UPCOM
MRF,Công ty Cổ phần MERUFA,Dược phẩm và Y tế,UPCOM
PPE,Công ty Cổ phần Tư vấn Đầu tư PP Enterprise,Công nghiệp,HNX
L63,Công ty Cổ phần Lilama 69-3,Công nghiệp,UPCOM
PLE,Công ty Cổ phần Tư vấn Xây dựng Petrolimex,Công nghiệp,UPCOM
PPI,Công ty Cổ phần Đầu tư và Phát triển dự án hạ tầng Thái Bình Dương,Tài chính,UPCOM
PMS,Công ty Cổ phần Cơ khí Xăng dầu,Công nghiệp,HNX
HCM,Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh,Tài chính,HOSE
PPP,Công ty Cổ phần Dược phẩm Phong Phú,Dược phẩm và Y tế,HNX
POT,Công ty Cổ phần Thiết bị Bưu điện,Công nghệ Thông tin,HNX
PPS,Công ty Cổ phần Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam,Công nghiệp,HNX
L35,Công ty Cổ phần Cơ khí Lắp máy Lilama,Công nghiệp,UPCOM
LCS,Công ty Cổ phần Licogi 16.6,Công nghiệp,UPCOM
LDP,Công ty Cổ phần Dược Lâm Đồng - Ladophar,Dược phẩm và Y tế,HNX
NAW,Công ty Cổ phần Cấp nước Nghệ An,Tiện ích Cộng đồng,UPCOM
HD2,Công ty Cổ phần Đầu tư phát triển nhà HUD2,Tài chính,UPCOM
PNP,Công ty Cổ phần Tân Cảng – Phú Hữu,Công nghiệp,UPCOM
POB,Công ty Cổ phần Xăng dầu Dầu khí Hưng Yên,Tiện ích Cộng đồng,UPCOM
DNA,Công ty Cổ phần Điện nước An Giang,Tiện ích Cộng đồng,UPCOM
PSC,Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Sài Gòn,Công nghiệp,HNX
NDX,Công ty Cổ phần Xây lắp Phát triển Nhà Đà Nẵng,Công nghiệp,HNX
BT1,Công ty Cổ phần Bảo vệ thực vật 1 Trung ương,Nguyên vật liệu,UPCOM
ILB,Công ty Cổ phần ICD Tân Cảng - Long Bình,Công nghiệp,HOSE
PSG,Công ty Cổ phần Đầu tư và Xây lắp Dầu khí Sài Gòn,Công nghiệp,UPCOM
PSI,Công ty Cổ phần Chứng khoán Dầu khí,Tài chính,HNX
PSP,Công ty Cổ phần Cảng Dịch vụ Dầu khí Đình Vũ,Công nghiệp,UPCOM
PRO,Công ty Cổ phần Procimex Việt Nam,Hàng Tiêu dùng,UPCOM
PSB,Công ty Cổ phần Đầu tư Dầu khí Sao Mai Bến Đình,Công nghiệp,UPCOM
GCB,Công ty Cổ phần PETEC Bình Định,Tiện ích Cộng đồng,UPCOM
PTD,Công ty Cổ phần Thiết kế - Xây dựng - Thương mại Phúc Thịnh,Công nghiệp,HNX
PSE,Công ty Cổ phần Phân bón và hóa chất dầu khí Đông Nam Bộ,Nguyên vật liệu,HNX
PTL,Công ty Cổ phần Victory Group,Tài chính,HOSE
PSL,Công ty Cổ phần Chăn nuôi Phú Sơn,Hàng Tiêu dùng,UPCOM
PTM,"Công ty Cổ phần Sản xuất, Thương mại Và Dịch vụ Ô tô PTM",Hàng Tiêu dùng,UPCOM
NHA,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị Nam Hà Nội,Công nghiệp,HOSE
NTP,Công ty Cổ phần Nhựa Thiếu niên Tiền Phong,Công nghiệp,HNX
PTC,Công ty Cổ phần Đầu tư ICAPITAL,Công nghiệp,HOSE
PTE,Công ty Cổ phần Xi măng Phú Thọ,Công nghiệp,UPCOM
KSF,Công ty Cổ phần Tập đoàn Sunshine,Tài chính,HNX
PTG,Công ty Cổ phần May Xuất Khẩu Phan Thiết,Hàng Tiêu dùng,UPCOM
PTH,Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Hà Tây,Tiện ích Cộng đồng,UPCOM
NNT,Công ty Cổ phần Cấp nước Ninh Thuận,Tiện ích Cộng đồng,UPCOM
POS,Công ty Cổ phần Vận hành và Xây lắp PTSC,Dầu khí,UPCOM
PSN,Công ty Cổ phần Dịch vụ Kỹ thuật PTSC Thanh Hóa,Công nghiệp,UPCOM
MHL,Công ty Cổ phần Minh Hữu Liên,Nguyên vật liệu,UPCOM
MIE,Tổng Công ty Máy và Thiết bị Công nghiệp - CTCP,Công nghiệp,UPCOM
PIA,Công ty Cổ phần Tin học Viễn thông Petrolimex,Viễn thông,HNX
DAT,Công ty Cổ phần Đầu tư Du lịch và Phát triển Thủy sản,Hàng Tiêu dùng,HOSE
L40,Công ty Cổ phần Đầu tư và Xây dựng 40,Công nghiệp,HNX
PTS,Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Hải Phòng,Công nghiệp,HNX
NDC,Công ty Cổ phần Nam Dược,Dược phẩm và Y tế,UPCOM
PTT,Công ty Cổ phần Vận tải Dầu khí Đông Dương,Công nghiệp,UPCOM
DSP,Công ty Cổ phần Dịch vụ Du lịch Phú Thọ,Dịch vụ Tiêu dùng,UPCOM
HNG,Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Hàng Tiêu dùng,UPCOM
DTD,Công ty Cổ phần Đầu tư Phát triển Thành Đạt,Tài chính,HNX
PV2,Công ty Cổ phần Đầu tư PV2,Tài chính,HNX
PVA,Công ty Cổ phần Tổng Công ty Xây lắp Dầu khí Nghệ An,Công nghiệp,UPCOM
PJS,Công ty Cổ phần Cấp nước Phú Hòa Tân,Tiện ích Cộng đồng,UPCOM
PVB,Công ty Cổ phần Bọc ống Dầu khí Việt Nam,Dầu khí,HNX
PCE,Công ty Cổ phần Phân bón và hóa chất dầu khí Miền Trung,Nguyên vật liệu,HNX
PVH,Công ty Cổ phần Xây lắp Dầu khí Thanh Hóa,Công nghiệp,UPCOM
PVD,Tổng Công ty Cổ phần Khoan và Dịch vụ khoan Dầu khí,Dầu khí,HOSE
PHP,Công ty Cổ phần Cảng Hải Phòng,Công nghiệp,UPCOM
NHC,Công ty Cổ phần Gạch ngói Nhị Hiệp,Công nghiệp,HNX
PVE,Tổng Công ty Tư vấn Thiết kế Dầu khí - Công ty Cổ phần,Dầu khí,UPCOM
PVM,Công ty Cổ phần Máy - Thiết bị Dầu khí,Công nghiệp,UPCOM
PHC,Công ty Cổ phần Xây dựng Phục Hưng Holdings,Công nghiệp,HOSE
PPH,Tổng Công ty Cổ phần Phong Phú,Hàng Tiêu dùng,UPCOM
CRV,Công ty Cổ phần Tập đoàn Bất động sản CRV,Tài chính,HOSE
PRE,Tổng Công ty Cổ phần Tái bảo hiểm Hà Nội,Tài chính,HNX
GKM,Công ty Cổ phần GKM Holdings,Công nghiệp,HNX
OIL,Tổng Công ty Dầu Việt Nam - Công ty Cổ phần,Dầu khí,UPCOM
NVB,Ngân hàng Thương mại Cổ phần Quốc Dân,Ngân hàng,HNX
PMW,Công ty Cổ phần Cấp Nước Phú Mỹ,Tiện ích Cộng đồng,UPCOM
PVG,Công ty Cổ phần Kinh doanh LPG Việt Nam,Tiện ích Cộng đồng,HNX
PVI,Công ty Cổ phần PVI,Tài chính,HNX
PVL,Công ty Cổ phần Đầu tư Nhà Đất Việt,Tài chính,UPCOM
PXL,Công ty Cổ phần Đầu tư Khu Công Nghiệp Dầu khí Long Sơn,Tài chính,UPCOM
QCC,Công ty Cổ phần Đầu tư Xây dựng và Phát triển Hạ tầng Viễn Thông,Công nghiệp,UPCOM
PVX,Tổng Công ty Cổ phần Xây lắp Dầu khí Việt Nam,Công nghiệp,UPCOM
PPC,Công ty Cổ phần Nhiệt điện Phả Lại,Tiện ích Cộng đồng,HOSE
QHD,Công ty Cổ phần Que hàn điện Việt Đức,Công nghiệp,HNX
QHW,Công ty Cổ phần Nước khoáng Quảng Ninh,Hàng Tiêu dùng,UPCOM
PQN,Công ty Cổ phần Dịch vụ Dầu khí Quảng Ngãi PTSC,Công nghiệp,UPCOM
LBM,Công ty Cổ phần Khoáng sản và Vật liệu xây dựng Lâm Đồng,Công nghiệp,HOSE
QNT,Công ty Cổ phần Tư vấn và Đầu tư Phát triển Quảng Nam,Công nghiệp,UPCOM
QNW,Công ty Cổ phần Cấp thoát nước và xây dựng Quảng Ngãi,Tiện ích Cộng đồng,UPCOM
RCC,Công ty Cổ phần Tổng Công ty Công trình Đường sắt Việt Nam,Công nghiệp,UPCOM
PPY,Công ty Cổ phần Xăng dầu dầu khí Phú Yên,Tiện ích Cộng đồng,HNX
PTO,Công ty Cổ phần Dịch vụ - Xây dựng Công trình Bưu điện,Công nghiệp,UPCOM
BQB,Công ty Cổ phần Bia Hà Nội - Quảng Bình,Hàng Tiêu dùng,UPCOM
POW,Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP,Tiện ích Cộng đồng,HOSE
PVS,Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,Dầu khí,HNX
NXT,Công ty Cổ phần Sản xuất và Cung ứng vật liệu xây dựng Kon Tum,Công nghiệp,UPCOM
MQN,Công ty Cổ phần Môi trường đô thị Quảng Ngãi,Công nghiệp,UPCOM
PTP,Công ty Cổ phần PTP,Viễn thông,UPCOM
PVY,Công ty Cổ phần Chế tạo Giàn khoan Dầu khí,Công nghiệp,UPCOM
DS3,Công ty Cổ phần DS3,Công nghiệp,HNX
PVT,Tổng Công ty Cổ phần Vận tải Dầu khí,Công nghiệp,HOSE
PVC,Tổng Công ty Hóa chất và Dịch vụ Dầu khí - Công ty Cổ phần,Dầu khí,HNX
PVP,Công ty Cổ phần Vận tải Dầu khí Thái Bình Dương,Công nghiệp,HOSE
PSD,Công ty Cổ phần Dịch vụ Phân phối Tổng hợp Dầu khí,Dịch vụ Tiêu dùng,HNX
NTF,Công ty Cổ phần Dược - Vật tư y tế Nghệ An,Dược phẩm và Y tế,UPCOM
PWA,Công ty Cổ phần Bất động sản dầu khí,Tài chính,UPCOM
PX1,Công ty Cổ phần Xi măng Sông Lam 2,Công nghiệp,UPCOM
PXA,Công ty Cổ phần Đầu tư và Thương mại Dầu khí Nghệ An,Tài chính,UPCOM
PXI,Công ty Cổ phần Xây dựng Công nghiệp và Dân dụng Dầu khí,Công nghiệp,UPCOM
PMT,Công ty Cổ phần Viễn thông Telvina Việt Nam,Công nghệ Thông tin,UPCOM
ND2,Công ty Cổ phần Đầu tư và Phát triển điện Miền Bắc 2,Tiện ích Cộng đồng,UPCOM
S55,Công ty Cổ phần Sông Đà 505,Công nghiệp,HNX
S74,Công ty Cổ phần Sông Đà 7.04,Công nghiệp,UPCOM
PXS,Công ty Cổ phần Kết cấu Kim loại và Lắp máy Dầu khí,Công nghiệp,UPCOM
PXT,Công ty Cổ phần Xây lắp Đường ống Bể chứa Dầu khí,Công nghiệp,UPCOM
S12,Công ty Cổ phần Sông Đà 12,Công nghiệp,UPCOM
BSH,Công ty Cổ phần Bia Sài Gòn - Hà Nội,Hàng Tiêu dùng,UPCOM
SAL,Công ty Cổ phần Trục vớt Cứu hộ Việt Nam,Công nghiệp,UPCOM
PXM,Công ty Cổ phần Xây lắp Dầu khí Miền Trung,Công nghiệp,UPCOM
VHM,Công ty Cổ phần Vinhomes,Tài chính,HOSE
PWS,Công ty Cổ phần Cấp thoát nước Phú Yên,Tiện ích Cộng đồng,UPCOM
QBS,Công ty Cổ phần Xuất nhập khẩu Quảng Bình,Nguyên vật liệu,UPCOM
PTB,Công ty Cổ phần Phú Tài,Nguyên vật liệu,HOSE
SAB,Tổng Công ty Cổ phần Bia - Rượu - Nước Giải khát Sài Gòn,Hàng Tiêu dùng,HOSE
PMJ,Công ty Cổ phần Vật tư Bưu điện,Công nghệ Thông tin,UPCOM
QCG,Công ty Cổ phần Quốc Cường Gia Lai,Tài chính,HOSE
PTX,Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Nghệ Tĩnh,Tiện ích Cộng đồng,HNX
NAF,Công ty Cổ phần Nafoods Group,Hàng Tiêu dùng,HOSE
QNC,Công ty Cổ phần Xi măng và Xây dựng Quảng Ninh,Công nghiệp,UPCOM
MCP,Công ty Cổ phần In và Bao bì Mỹ Châu,Công nghiệp,HOSE
QSP,Công ty Cổ phần Tân cảng Quy Nhơn,Công nghiệp,UPCOM
PRC,Công ty Cổ phần Logistics Portserco,Công nghiệp,HNX
TOW,Công ty Cổ phần Cấp nước Trà Nóc - Ô Môn,Tiện ích Cộng đồng,UPCOM
QNP,Công ty Cổ phần Cảng Quy Nhơn,Công nghiệp,HOSE
SAF,Công ty Cổ phần Lương thực Thực phẩm SAFOCO,Hàng Tiêu dùng,HNX
CQN,Công ty Cổ phần Cảng Quảng Ninh,Công nghiệp,UPCOM
SD1,Công ty Cổ phần Sông Đà 1,Công nghiệp,UPCOM
QNS,Công ty Cổ phần Đường Quảng Ngãi,Hàng Tiêu dùng,UPCOM
PTI,Tổng Công ty Cổ phần Bảo hiểm Bưu điện,Tài chính,HNX
REE,Công ty Cổ phần Cơ điện Lạnh,Tiện ích Cộng đồng,HOSE
SD2,Công ty Cổ phần Sông Đà 2,Công nghiệp,UPCOM
QTP,Công ty Cổ phần Nhiệt điện Quảng Ninh,Tiện ích Cộng đồng,UPCOM
SD9,Công ty Cổ phần Sông Đà 9,Công nghiệp,HNX
NLG,Công ty Cổ phần Đầu tư Nam Long,Tài chính,HOSE
QNU,Công ty Cổ phần Môi trường Đô thị Quảng Nam,Công nghiệp,UPCOM
SAM,Công ty Cổ phần SAM Holdings,Công nghệ Thông tin,HOSE
SKH,Công ty Cổ phần Nước giải khát Sanest Khánh Hòa,Hàng Tiêu dùng,UPCOM
QPH,Công ty Cổ phần Thủy điện Quế Phong,Tiện ích Cộng đồng,UPCOM
PGS,Công ty Cổ phần Kinh doanh Khí Miền Nam,Tiện ích Cộng đồng,HNX
PXC,Công ty Cổ phần Phát triển Đô thị Dầu khí,Tài chính,UPCOM
SD5,Công ty Cổ phần Sông Đà 5,Công nghiệp,HNX
VNB,Công ty Cổ phần Sách Việt Nam,Dịch vụ Tiêu dùng,UPCOM
QST,Công ty Cổ phần Sách và Thiết bị trường học Quảng Ninh,Dịch vụ Tiêu dùng,HNX
QTC,Công ty Cổ phần Công trình Giao thông Vận tải Quảng Nam,Công nghiệp,HNX
SD3,Công ty Cổ phần Sông Đà 3,Công nghiệp,UPCOM
SBA,Công ty Cổ phần Sông Ba,Tiện ích Cộng đồng,HOSE
XLV,Công ty Cổ phần Xây lắp và Dịch vụ Sông Đà,Công nghiệp,UPCOM
PVR,Công ty Cổ phần Đầu tư PVR Hà Nội,Tài chính,UPCOM
SDV,Công ty Cổ phần Dịch vụ Sonadezi,Công nghiệp,UPCOM
SDC,Công ty Cổ phần Tư vấn Sông Đà,Công nghiệp,HNX
LSS,Công ty Cổ phần Mía đường Lam Sơn,Hàng Tiêu dùng,HOSE
NQN,Công ty Cổ phần Nước sạch Quảng Ninh,Tiện ích Cộng đồng,UPCOM
SSB,Ngân hàng Thương mại Cổ phần Đông Nam Á,Ngân hàng,HOSE
SBL,Công ty Cổ phần Bia Sài Gòn - Bạc Liêu,Hàng Tiêu dùng,UPCOM
PLC,Tổng Công ty Hóa dầu Petrolimex - Công ty Cổ phần,Nguyên vật liệu,HNX
SEB,Công ty Cổ phần Đầu tư và Phát triển Điện Miền Trung,Tiện ích Cộng đồng,HNX
RAL,Công ty Cổ phần Bóng đèn Phích nước Rạng Đông,Hàng Tiêu dùng,HOSE
RAT,Công ty Cổ phần Vận tải và Thương mại Đường sắt,Công nghiệp,UPCOM
RCD,Công ty Cổ phần Xây dựng - Địa ốc Cao su,Công nghiệp,UPCOM
SFN,Công ty Cổ phần Dệt lưới Sài Gòn,Công nghiệp,HNX
BSG,Công ty Cổ phần Xe khách Sài Gòn,Dịch vụ Tiêu dùng,UPCOM
CSI,Công ty Cổ phần Chứng khoán Kiến thiết Việt Nam,Tài chính,UPCOM
SGD,Công ty Cổ phần Sách Giáo dục tại Thành phố Hồ Chí Minh,Dịch vụ Tiêu dùng,HNX
MDG,Công ty Cổ phần Miền Đông,Công nghiệp,HOSE
NKG,Công ty Cổ phần Thép Nam Kim,Nguyên vật liệu,HOSE
RCL,Công ty Cổ phần Địa ốc Chợ Lớn,Tài chính,HNX
RDP,Công ty Cổ phần Rạng Đông Holding,Nguyên vật liệu,UPCOM
SGH,Công ty Cổ phần Khách sạn Sài Gòn,Dịch vụ Tiêu dùng,HNX
SDP,Công ty Cổ phần SDP,Công nghiệp,UPCOM
SGT,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công nghệ Thông tin,HOSE
TBR,Công ty Cổ phần Địa ốc Tân Bình,Tài chính,UPCOM
SDY,Công ty Cổ phần Xi măng Sông Đà Yaly,Công nghiệp,UPCOM
SHA,Công ty Cổ phần Sơn Hà Sài Gòn,Nguyên vật liệu,HOSE
SHI,Công ty Cổ phần Quốc tế Sơn Hà,Nguyên vật liệu,HOSE
SHN,Công ty Cổ phần Đầu tư Tổng hợp Hà Nội,Nguyên vật liệu,HNX
RBC,Công ty Cổ phần Công Nghiệp và Xuất nhập khẩu Cao Su,Nguyên vật liệu,UPCOM
PBT,Công ty Cổ Phần Bao bì và Thương mại Dầu khí Bình Sơn,Công nghiệp,UPCOM
SHG,Tổng Công ty Cổ phần Sông Hồng,Công nghiệp,UPCOM
SGB,Ngân hàng Thương mại Cổ phần Sài Gòn Công thương,Ngân hàng,UPCOM
SBB,Công ty Cổ phần Tập đoàn Bia Sài Gòn Bình Tây,Hàng Tiêu dùng,UPCOM
PNG,Công ty Cổ phần Thương Mại Phú Nhuận,Dịch vụ Tiêu dùng,UPCOM
S72,Công ty Cổ phần Sông Đà 7.02,Công nghiệp,UPCOM
SZC,Công ty Cổ phần Sonadezi Châu Đức,Tài chính,HOSE
S96,Công ty Cổ phần Sông Đà 9.06,Công nghiệp,UPCOM
SKV,Công ty Cổ phần Nước Giải khát Yến sào Khánh Hòa,Hàng Tiêu dùng,UPCOM
S99,Công ty Cổ phần SCI,Công nghiệp,HNX
SMC,Công ty Cổ phần Đầu tư Thương mại SMC,Nguyên vật liệu,HOSE
PVV,Công ty Cổ phần Vinaconex 39,Công nghiệp,UPCOM
BSQ,Công ty Cổ phần Bia Sài Gòn - Quảng Ngãi,Hàng Tiêu dùng,UPCOM
SGN,Công ty Cổ phần Phục vụ mặt đất Sài Gòn,Công nghiệp,HOSE
NSH,Công ty Cổ phần Tập đoàn Nhôm Sông Hồng Shalumi,Nguyên vật liệu,HNX
SIG,Công ty Cổ phần Đầu tư và Thương mại Sông Đà,Công nghiệp,UPCOM
SZG,Công ty Cổ phần Sonadezi Giang Điền,Tài chính,UPCOM
PMC,Công ty Cổ phần Dược phẩm Dược liệu Pharmedic,Dược phẩm và Y tế,HNX
SAP,Công ty Cổ phần In Sách Giáo khoa TP.Hồ Chí Minh,Dịch vụ Tiêu dùng,UPCOM
RIC,Công ty Cổ phần Quốc Tế Hoàng Gia,Dịch vụ Tiêu dùng,UPCOM
PSW,Công ty Cổ phần Phân bón và hóa chất dầu khí Tây Nam Bộ,Nguyên vật liệu,HNX
APT,Công ty Cổ phần Kinh doanh thủy hải sản Sài Gòn,Hàng Tiêu dùng,UPCOM
CHS,Công ty Cổ phần Chiếu sáng Công cộng Thành phố Hồ Chí Minh,Tiện ích Cộng đồng,UPCOM
SLD,Công ty Cổ phần Địa Ốc Sacom,Tài chính,UPCOM
SAS,Công ty Cổ phần Dịch vụ Hàng không Sân bay Tân Sơn Nhất,Dịch vụ Tiêu dùng,UPCOM
SMB,Công ty Cổ phần Bia Sài Gòn - Miền Trung,Hàng Tiêu dùng,HOSE
BSL,Công ty Cổ phần Bia Sài Gòn - Sông Lam,Hàng Tiêu dùng,UPCOM
SAC,Công ty Cổ phần Xếp dỡ và Dịch vụ cảng Sài Gòn,Công nghiệp,UPCOM
PAN,Công ty Cổ phần Tập đoàn PAN,Hàng Tiêu dùng,HOSE
SHE,Công ty Cổ phần Phát triển Năng Lượng Sơn Hà,Hàng Tiêu dùng,HNX
SAV,Công ty Cổ phần Hợp tác Kinh tế và Xuất nhập khẩu Savimex,Nguyên vật liệu,HOSE
SPC,Công ty Cổ phần Bảo vệ Thực vật Sài Gòn,Nguyên vật liệu,HNX
SPI,Công ty Cổ phần Spiral Galaxy,Nguyên vật liệu,UPCOM
SQC,Công ty Cổ phần Khoáng sản Sài Gòn - Quy Nhơn,Nguyên vật liệu,UPCOM
SPH,Công ty Cổ phần Xuất Nhập khẩu Thủy sản Hà Nội,Hàng Tiêu dùng,UPCOM
STL,Công ty Cổ phần Sông Đà - Thăng Long,Tài chính,UPCOM
SBD,Công ty Cổ phần Công nghệ Sao Bắc Đẩu,Công nghệ Thông tin,UPCOM
SVD,Công ty Cổ phần Đầu tư & Thương mại Vũ Đăng,Hàng Tiêu dùng,HOSE
SBH,Công ty Cổ phần Thủy điện Sông Ba Hạ,Tiện ích Cộng đồng,UPCOM
SBM,Công ty Cổ phần Đầu tư phát triển Bắc Minh,Công nghiệp,UPCOM
SBS,Công ty Cổ phần Chứng khoán SBS,Tài chính,UPCOM
NSL,Công ty Cổ phần Cấp nước Sơn La,Tiện ích Cộng đồng,UPCOM
SD8,Công ty Cổ phần Sông Đà 8,Công nghiệp,UPCOM
PGI,Tổng Công ty Cổ phần Bảo hiểm Petrolimex,Tài chính,HOSE
SDT,Công ty Cổ phần Sông Đà 10,Công nghiệp,UPCOM
SBT,Công ty Cổ phần Thành Thành Công - Biên Hòa,Hàng Tiêu dùng,HOSE
SVN,Công ty Cổ phần Tập đoàn Vexilla Việt Nam,Công nghiệp,HNX
SWC,Tổng Công ty Cổ phần Đường Sông Miền Nam,Công nghiệp,UPCOM
SC5,Công ty Cổ phần Xây dựng số 5,Công nghiệp,HOSE
SRF,Công ty Cổ phần Searefico,Công nghiệp,HOSE
SSI,Công ty Cổ phần Chứng khoán SSI,Tài chính,HOSE
SCC,Công ty Cổ phần Thương mại Đầu tư SHB,Công nghiệp,UPCOM
SBR,Công ty Cổ phần Cao su Sông Bé,Nguyên vật liệu,UPCOM
SZB,Công ty Cổ phần Sonadezi Long Bình,Tài chính,HNX
SCD,Công ty Cổ phần Nước giải khát Chương Dương,Hàng Tiêu dùng,UPCOM
PMG,Công ty Cổ phần Đầu tư và Sản xuất Petro Miền Trung,Tiện ích Cộng đồng,HOSE
SCG,Công ty Cổ phần Tập đoàn Xây dựng SCG,Công nghiệp,HNX
SCI,Công ty Cổ phần SCI E&C,Công nghiệp,HNX
SID,Công ty Cổ phần Đầu tư Phát triển Sài Gòn Co.op,Tài chính,UPCOM
SCJ,Công ty Cổ phần Xi măng Sài Sơn,Công nghiệp,UPCOM
STS,Công ty Cổ phần Dịch vụ vận tải Sài Gòn,Công nghiệp,UPCOM
SCL,Công ty Cổ phần Sông Đà Cao Cường,Công nghiệp,UPCOM
STT,Công ty Cổ phần Vận chuyển Sài Gòn Tourist,Dịch vụ Tiêu dùng,UPCOM
SCO,Công ty Cổ phần Công nghiệp Thủy sản,Công nghiệp,UPCOM
SCR,Công ty Cổ phần Địa Ốc Sài Gòn Thương Tín,Tài chính,HOSE
SCS,Công ty Cổ phần Dịch vụ Hàng hóa Sài Gòn,Dịch vụ Tiêu dùng,HOSE
AST,Công ty Cổ phần Dịch vụ Hàng không Taseco,Dịch vụ Tiêu dùng,HOSE
SD4,Công ty Cổ phần Sông Đà 4,Công nghiệp,UPCOM
TCX,Công ty Cổ phần Chứng khoán Kỹ Thương,Tài chính,HOSE
SD6,Công ty Cổ phần Sông Đà 6,Công nghiệp,UPCOM
SD7,Công ty Cổ phần Sông Đà 7,Công nghiệp,UPCOM
SFG,Công ty Cổ phần Phân bón Miền Nam,Nguyên vật liệu,HOSE
SDA,Công ty Cổ phần SIMCO Sông Đà,Công nghiệp,HNX
SDB,Công ty Cổ phần Sông Đà 207,Công nghiệp,UPCOM
TDH,Công ty Cổ phần Phát triển Nhà Thủ Đức,Tài chính,HOSE
TDT,Công ty Cổ phần Đầu tư và Phát triển TDT,Hàng Tiêu dùng,HNX
SZE,Công ty Cổ phần Môi trường Sonadezi,Công nghiệp,UPCOM
SDD,Công ty Cổ phần Đầu tư và Xây lắp Sông Đà,Công nghiệp,UPCOM
SDG,Công ty Cổ phần Sadico Cần Thơ,Công nghiệp,HNX
TDW,Công ty Cổ phần Cấp nước Thủ Đức,Tiện ích Cộng đồng,HOSE
SDK,Công ty Cổ phần Cơ khí Luyện Kim,Công nghiệp,UPCOM
SDN,Công ty Cổ phần Sơn Đồng Nai,Công nghiệp,HNX
